config_id,delta_window,p_window,g_window,eps_g,tau_delta,tau_p,p_min,p_z_threshold,k_consec_alarm,warmup_bars,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,total_alarm_count_events,total_pre_collapse_alarm_count,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,control_row_fp_accepted,total_control_alarm_rows,total_control_rows,provisional_score
cfg_000605,16,60,30,0.1,-0.05,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,3,3,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000611,16,60,30,0.1,-0.02,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,6,6,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000677,16,60,60,0.02,-0.05,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,3,3,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000683,16,60,60,0.02,-0.02,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,7,6,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000689,16,60,60,0.05,-0.05,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,3,3,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000695,16,60,60,0.05,-0.02,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,7,6,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000701,16,60,60,0.1,-0.05,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,3,3,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_000707,16,60,60,0.1,-0.02,0.0,0.1,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],5.283333333333333,5.0,7,6,26,1,25,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.038461538461538464,4.29202970084553e-05,True,False,1,23299,979839.6583049124
cfg_001339,30,60,30,0.15,-0.02,0.0,0.02,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,26,2,24,"['covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13']","['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.07692307692307693,0.0001716811880338212,False,False,4,23299,-50244.55908804273
cfg_001341,30,60,30,0.15,-0.02,0.0,0.05,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,26,2,24,"['covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13']","['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.07692307692307693,0.0001716811880338212,False,False,4,23299,-50244.55908804273
cfg_001321,30,60,30,0.1,-0.05,0.0,0.02,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],51.28333333333333,51.0,1,1,26,2,24,"['volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_11']","['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.07692307692307693,0.00012876089102536588,False,False,3,23299,-60268.10200833974
cfg_001323,30,60,30,0.1,-0.05,0.0,0.05,1.0,5,0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],51.28333333333333,51.0,1,1,26,2,24,"['volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_11']","['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.07692307692307693,0.00012876089102536588,False,False,3,23299,-60268.10200833974
